Week,Date,Rep,Row,Cultivar,Leave,Leaf Incidence,Leaf Severity (%),Year,Cluster Inc,Cluster Sev,rater
1,5/28/2011,1,4,5,6,0,0,2011,,,rac
1,5/28/2011,1,4,5,7,0,0,2011,,,rac
1,5/28/2011,1,4,5,8,0,0,2011,,,rac
1,5/28/2011,1,4,5,9,0,0,2011,,,rac
1,5/28/2011,1,4,5,10,0,0,2011,,,rac
1,5/28/2011,1,4,5,1,0,0,2011,,,rac
1,5/28/2011,1,4,5,2,0,0,2011,,,rac
1,5/28/2011,1,4,5,3,0,0,2011,,,rac
1,5/28/2011,1,4,5,4,0,0,2011,,,rac
1,5/28/2011,1,4,5,5,0,0,2011,,,rac
1,5/28/2011,1,4,5,6,0,,2011,,,rac
1,5/28/2011,1,4,5,7,0,,2011,,,rac
1,5/28/2011,1,4,5,8,0,,2011,,,rac
1,5/28/2011,1,4,5,9,0,,2011,,,rac
1,5/28/2011,1,4,5,10,0,,2011,,,rac
1,5/28/2011,1,4,9,1,0,0,2011,,,rac
1,5/28/2011,1,4,9,2,0,0,2011,,,rac
1,5/28/2011,1,4,9,3,0,0,2011,,,rac
1,5/28/2011,1,4,9,4,0,0,2011,,,rac
1,5/28/2011,1,4,9,5,0,0,2011,,,rac
1,5/28/2011,1,4,9,6,0,0,2011,,,rac
1,5/28/2011,1,4,9,7,0,0,2011,,,rac
1,5/28/2011,1,4,9,8,0,0,2011,,,rac
1,5/28/2011,1,4,9,9,0,0,2011,,,rac
1,5/28/2011,1,4,9,10,0,0,2011,,,rac
1,5/28/2011,1,4,9,1,0,0,2011,,,rac
1,5/28/2011,1,4,9,2,0,0,2011,,,rac
1,5/28/2011,1,4,9,3,0,0,2011,,,rac
1,5/28/2011,1,4,9,4,0,0,2011,,,rac
1,5/28/2011,1,4,9,5,0,0,2011,,,rac
1,5/28/2011,1,4,9,6,0,0,2011,,,rac
1,5/28/2011,1,4,9,7,0,0,2011,,,rac
1,5/28/2011,1,4,9,8,0,0,2011,,,rac
1,5/28/2011,1,4,9,9,0,0,2011,,,rac
1,5/28/2011,1,4,9,10,0,0,2011,,,rac
1,5/28/2011,1,5,2,1,0,0,2011,,,rac
1,5/28/2011,1,5,2,2,0,0,2011,,,rac
1,5/28/2011,1,5,2,3,0,0,2011,,,rac
1,5/28/2011,1,5,2,4,0,0,2011,,,rac
1,5/28/2011,1,5,2,5,0,0,2011,,,rac
1,5/28/2011,1,5,2,6,0,0,2011,,,rac
1,5/28/2011,1,5,2,7,0,0,2011,,,rac
1,5/28/2011,1,5,2,8,0,0,2011,,,rac
1,5/28/2011,1,5,2,9,0,0,2011,,,rac
1,5/28/2011,1,5,2,10,0,0,2011,,,rac
1,5/28/2011,1,5,2,1,0,0,2011,,,rac
1,5/28/2011,1,5,2,2,0,0,2011,,,rac
1,5/28/2011,1,5,2,3,0,0,2011,,,rac
1,5/28/2011,1,5,2,4,0,0,2011,,,rac
1,5/28/2011,1,5,2,5,0,0,2011,,,rac
1,5/28/2011,1,5,2,6,0,0,2011,,,rac
1,5/28/2011,1,5,2,7,0,0,2011,,,rac
1,5/28/2011,1,5,2,8,0,0,2011,,,rac
1,5/28/2011,1,5,2,9,0,0,2011,,,rac
1,5/28/2011,1,5,2,10,0,0,2011,,,rac
1,5/28/2011,1,5,6,1,0,0,2011,,,rac
1,5/28/2011,1,5,6,2,0,0,2011,,,rac
1,5/28/2011,1,5,6,3,0,0,2011,,,rac
1,5/28/2011,1,5,6,4,0,0,2011,,,rac
1,5/28/2011,1,5,6,5,0,0,2011,,,rac
1,5/28/2011,1,5,6,6,0,,2011,,,rac
1,5/28/2011,1,5,6,7,0,,2011,,,rac
1,5/28/2011,1,5,6,8,0,,2011,,,rac
1,5/28/2011,1,5,6,9,0,,2011,,,rac
1,5/28/2011,1,5,6,10,0,,2011,,,rac
1,5/28/2011,1,5,6,1,0,0,2011,,,rac
1,5/28/2011,1,5,6,2,0,0,2011,,,rac
1,5/28/2011,1,5,6,3,0,0,2011,,,rac
1,5/28/2011,1,5,6,4,0,0,2011,,,rac
1,5/28/2011,1,5,6,5,0,0,2011,,,rac
1,5/28/2011,1,5,6,6,0,0,2011,,,rac
1,5/28/2011,1,5,6,7,0,0,2011,,,rac
1,5/28/2011,1,5,6,8,0,0,2011,,,rac
1,5/28/2011,1,5,6,9,0,0,2011,,,rac
1,5/28/2011,1,5,6,10,0,0,2011,,,rac
1,5/28/2011,1,6,1,1,0,0,2011,,,rac
1,5/28/2011,1,6,1,2,0,0,2011,,,rac
1,5/28/2011,1,6,1,3,0,0,2011,,,rac
1,5/28/2011,1,6,1,4,0,0,2011,,,rac
1,5/28/2011,1,6,1,5,0,0,2011,,,rac
1,5/28/2011,1,6,1,6,0,0,2011,,,rac
1,5/28/2011,1,6,1,7,0,0,2011,,,rac
1,5/28/2011,1,6,1,8,0,,2011,,,rac
1,5/28/2011,1,6,1,9,0,,2011,,,rac
1,5/28/2011,1,6,1,10,0,,2011,,,rac
1,5/28/2011,1,6,1,1,0,0,2011,,,rac
1,5/28/2011,1,6,1,2,0,0,2011,,,rac
1,5/28/2011,1,6,1,3,0,0,2011,,,rac
1,5/28/2011,1,6,1,4,0,0,2011,,,rac
1,5/28/2011,1,6,1,5,0,0,2011,,,rac
1,5/28/2011,1,6,1,6,0,0,2011,,,rac
1,5/28/2011,1,6,1,7,0,0,2011,,,rac
1,5/28/2011,1,6,1,8,0,0,2011,,,rac
1,5/28/2011,1,6,1,9,0,0,2011,,,rac
1,5/28/2011,1,6,1,10,0,0,2011,,,rac
1,5/28/2011,2,6,7,1,0,0,2011,,,rac
1,5/28/2011,2,6,7,2,0,0,2011,,,rac
1,5/28/2011,2,6,7,3,0,0,2011,,,rac
1,5/28/2011,2,6,7,4,0,0,2011,,,rac
1,5/28/2011,2,6,7,5,0,0,2011,,,rac
1,5/28/2011,2,6,7,6,0,0,2011,,,rac
1,5/28/2011,2,6,7,7,0,0,2011,,,rac
1,5/28/2011,2,6,7,8,0,0,2011,,,rac
1,5/28/2011,2,6,7,9,0,0,2011,,,rac
1,5/28/2011,2,6,7,10,0,0,2011,,,rac
1,5/28/2011,2,6,7,1,0,0,2011,,,rac
1,5/28/2011,2,6,7,2,0,0,2011,,,rac
1,5/28/2011,2,6,7,3,0,0,2011,,,rac
1,5/28/2011,2,6,7,4,0,0,2011,,,rac
1,5/28/2011,2,6,7,5,0,0,2011,,,rac
1,5/28/2011,2,6,7,6,0,0,2011,,,rac
1,5/28/2011,2,6,7,7,0,0,2011,,,rac
1,5/28/2011,2,6,7,8,0,0,2011,,,rac
1,5/28/2011,2,6,7,9,0,0,2011,,,rac
1,5/28/2011,2,6,7,10,0,0,2011,,,rac
1,5/28/2011,2,7,4,1,0,0,2011,,,rac
1,5/28/2011,2,7,4,2,0,0,2011,,,rac
1,5/28/2011,2,7,4,3,0,0,2011,,,rac
1,5/28/2011,2,7,4,4,0,0,2011,,,rac
1,5/28/2011,2,7,4,5,0,0,2011,,,rac
1,5/28/2011,2,7,4,6,0,,2011,,,rac
1,5/28/2011,2,7,4,7,0,,2011,,,rac
1,5/28/2011,2,7,4,8,0,,2011,,,rac
1,5/28/2011,2,7,4,9,0,,2011,,,rac
1,5/28/2011,2,7,4,10,0,,2011,,,rac
1,5/28/2011,2,7,4,1,0,0,2011,,,rac
1,5/28/2011,2,7,4,2,0,0,2011,,,rac
1,5/28/2011,2,7,4,3,0,0,2011,,,rac
1,5/28/2011,2,7,4,4,0,0,2011,,,rac
1,5/28/2011,2,7,4,5,0,0,2011,,,rac
1,5/28/2011,2,7,4,6,0,0,2011,,,rac
1,5/28/2011,2,7,4,7,0,0,2011,,,rac
1,5/28/2011,2,7,4,8,0,0,2011,,,rac
1,5/28/2011,2,7,4,9,0,0,2011,,,rac
1,5/28/2011,2,7,4,10,0,0,2011,,,rac
1,5/28/2011,2,7,5,1,0,0,2011,,,rac
1,5/28/2011,2,7,5,2,0,0,2011,,,rac
1,5/28/2011,2,7,5,3,0,0,2011,,,rac
1,5/28/2011,2,7,5,4,0,0,2011,,,rac
1,5/28/2011,2,7,5,5,0,0,2011,,,rac
1,5/28/2011,2,7,5,6,0,0,2011,,,rac
1,5/28/2011,2,7,5,7,0,0,2011,,,rac
1,5/28/2011,2,7,5,8,0,0,2011,,,rac
1,5/28/2011,2,7,5,9,0,0,2011,,,rac
1,5/28/2011,2,7,5,10,0,0,2011,,,rac
1,5/28/2011,2,7,5,1,0,0,2011,,,rac
1,5/28/2011,2,7,5,2,0,0,2011,,,rac
1,5/28/2011,2,7,5,3,0,0,2011,,,rac
1,5/28/2011,2,7,5,4,0,0,2011,,,rac
1,5/28/2011,2,7,5,5,0,0,2011,,,rac
1,5/28/2011,2,7,5,6,0,0,2011,,,rac
1,5/28/2011,2,7,5,7,0,0,2011,,,rac
1,5/28/2011,2,7,5,8,0,,2011,,,rac
1,5/28/2011,2,7,5,9,0,,2011,,,rac
1,5/28/2011,2,7,5,10,0,,2011,,,rac
1,5/28/2011,2,8,6,1,0,0,2011,,,rac
1,5/28/2011,2,8,6,2,0,0,2011,,,rac
1,5/28/2011,2,8,6,3,0,0,2011,,,rac
1,5/28/2011,2,8,6,4,0,0,2011,,,rac
1,5/28/2011,2,8,6,5,0,0,2011,,,rac
1,5/28/2011,2,8,6,6,0,0,2011,,,rac
1,5/28/2011,2,8,6,7,0,0,2011,,,rac
1,5/28/2011,2,8,6,8,0,0,2011,,,rac
1,5/28/2011,2,8,6,9,0,,2011,,,rac
1,5/28/2011,2,8,6,10,0,,2011,,,rac
1,5/28/2011,2,8,6,1,0,0,2011,,,rac
1,5/28/2011,2,8,6,2,0,0,2011,,,rac
1,5/28/2011,2,8,6,3,0,0,2011,,,rac
1,5/28/2011,2,8,6,4,0,0,2011,,,rac
1,5/28/2011,2,8,6,5,0,0,2011,,,rac
1,5/28/2011,2,8,6,6,0,0,2011,,,rac
1,5/28/2011,2,8,6,7,0,0,2011,,,rac
1,5/28/2011,2,8,6,8,0,0,2011,,,rac
1,5/28/2011,2,8,6,9,0,,2011,,,rac
1,5/28/2011,2,8,6,10,0,,2011,,,rac
1,5/28/2011,2,8,2,1,0,0,2011,,,rac
1,5/28/2011,2,8,2,2,0,0,2011,,,rac
1,5/28/2011,2,8,2,3,0,0,2011,,,rac
1,5/28/2011,2,8,2,4,0,0,2011,,,rac
1,5/28/2011,2,8,2,5,0,0,2011,,,rac
1,5/28/2011,2,8,2,6,0,0,2011,,,rac
1,5/28/2011,2,8,2,7,0,,2011,,,rac
1,5/28/2011,2,8,2,8,0,,2011,,,rac
1,5/28/2011,2,8,2,9,0,,2011,,,rac
1,5/28/2011,2,8,2,10,0,,2011,,,rac
1,5/28/2011,2,8,2,1,0,0,2011,,,rac
1,5/28/2011,2,8,2,2,0,0,2011,,,rac
1,5/28/2011,2,8,2,3,0,0,2011,,,rac
1,5/28/2011,2,8,2,4,0,0,2011,,,rac
1,5/28/2011,2,8,2,5,0,0,2011,,,rac
1,5/28/2011,2,8,2,6,0,0,2011,,,rac
1,5/28/2011,2,8,2,7,0,0,2011,,,rac
1,5/28/2011,2,8,2,8,0,,2011,,,rac
1,5/28/2011,2,8,2,9,0,,2011,,,rac
1,5/28/2011,2,8,2,10,0,,2011,,,rac
1,5/28/2011,2,9,9,1,0,0,2011,,,rac
1,5/28/2011,2,9,9,2,0,0,2011,,,rac
1,5/28/2011,2,9,9,3,0,0,2011,,,rac
1,5/28/2011,2,9,9,4,0,0,2011,,,rac
1,5/28/2011,2,9,9,5,0,0,2011,,,rac
1,5/28/2011,2,9,9,6,0,0,2011,,,rac
1,5/28/2011,2,9,9,7,0,0,2011,,,rac
1,5/28/2011,2,9,9,8,0,0,2011,,,rac
1,5/28/2011,2,9,9,9,0,0,2011,,,rac
1,5/28/2011,2,9,9,10,0,0,2011,,,rac
1,5/28/2011,2,9,9,1,0,0,2011,,,rac
1,5/28/2011,2,9,9,2,0,0,2011,,,rac
1,5/28/2011,2,9,9,3,0,0,2011,,,rac
1,5/28/2011,2,9,9,4,0,0,2011,,,rac
1,5/28/2011,2,9,9,5,0,0,2011,,,rac
1,5/28/2011,2,9,9,6,0,0,2011,,,rac
1,5/28/2011,2,9,9,7,0,0,2011,,,rac
1,5/28/2011,2,9,9,8,0,0,2011,,,rac
1,5/28/2011,2,9,9,9,0,0,2011,,,rac
1,5/28/2011,2,9,9,10,0,0,2011,,,rac
1,5/28/2011,2,9,1,1,0,0,2011,,,rac
1,5/28/2011,2,9,1,2,0,0,2011,,,rac
1,5/28/2011,2,9,1,3,0,0,2011,,,rac
1,5/28/2011,2,9,1,4,0,0,2011,,,rac
1,5/28/2011,2,9,1,5,0,,2011,,,rac
1,5/28/2011,2,9,1,6,0,,2011,,,rac
1,5/28/2011,2,9,1,7,0,,2011,,,rac
1,5/28/2011,2,9,1,8,0,,2011,,,rac
1,5/28/2011,2,9,1,9,0,,2011,,,rac
1,5/28/2011,2,9,1,10,0,,2011,,,rac
1,5/28/2011,2,9,1,1,0,0,2011,,,rac
1,5/28/2011,2,9,1,2,0,0,2011,,,rac
1,5/28/2011,2,9,1,3,0,0,2011,,,rac
1,5/28/2011,2,9,1,4,0,0,2011,,,rac
1,5/28/2011,2,9,1,5,0,0,2011,,,rac
1,5/28/2011,2,9,1,6,0,0,2011,,,rac
1,5/28/2011,2,9,1,7,0,,2011,,,rac
1,5/28/2011,2,9,1,8,0,,2011,,,rac
1,5/28/2011,2,9,1,9,0,,2011,,,rac
1,5/28/2011,2,9,1,10,0,,2011,,,rac
1,5/28/2011,2,10,8,1,0,0,2011,,,rac
1,5/28/2011,2,10,8,2,0,0,2011,,,rac
1,5/28/2011,2,10,8,3,0,0,2011,,,rac
1,5/28/2011,2,10,8,4,0,0,2011,,,rac
1,5/28/2011,2,10,8,5,0,0,2011,,,rac
1,5/28/2011,2,10,8,6,0,0,2011,,,rac
1,5/28/2011,2,10,8,7,0,0,2011,,,rac
1,5/28/2011,2,10,8,8,0,0,2011,,,rac
1,5/28/2011,2,10,8,9,0,0,2011,,,rac
1,5/28/2011,2,10,8,10,0,0,2011,,,rac
1,5/28/2011,2,10,8,1,0,0,2011,,,rac
1,5/28/2011,2,10,8,2,0,0,2011,,,rac
1,5/28/2011,2,10,8,3,0,0,2011,,,rac
1,5/28/2011,2,10,8,4,0,0,2011,,,rac
1,5/28/2011,2,10,8,5,0,0,2011,,,rac
1,5/28/2011,2,10,8,6,0,,2011,,,rac
1,5/28/2011,2,10,8,7,0,,2011,,,rac
1,5/28/2011,2,10,8,8,0,,2011,,,rac
1,5/28/2011,2,10,8,9,0,,2011,,,rac
1,5/28/2011,2,10,8,10,0,,2011,,,rac
1,5/28/2011,2,10,3,1,0,0,2011,,,rac
1,5/28/2011,2,10,3,2,0,0,2011,,,rac
1,5/28/2011,2,10,3,3,0,0,2011,,,rac
1,5/28/2011,2,10,3,4,0,0,2011,,,rac
1,5/28/2011,2,10,3,5,0,0,2011,,,rac
1,5/28/2011,2,10,3,6,0,0,2011,,,rac
1,5/28/2011,2,10,3,7,0,,2011,,,rac
1,5/28/2011,2,10,3,8,0,,2011,,,rac
1,5/28/2011,2,10,3,9,0,,2011,,,rac
1,5/28/2011,2,10,3,10,0,,2011,,,rac
1,5/28/2011,2,10,3,1,0,0,2011,,,rac
1,5/28/2011,2,10,3,2,0,0,2011,,,rac
1,5/28/2011,2,10,3,3,0,0,2011,,,rac
1,5/28/2011,2,10,3,4,0,0,2011,,,rac
1,5/28/2011,2,10,3,5,0,0,2011,,,rac
1,5/28/2011,2,10,3,6,0,,2011,,,rac
1,5/28/2011,2,10,3,7,0,,2011,,,rac
1,5/28/2011,2,10,3,8,0,,2011,,,rac
1,5/28/2011,2,10,3,9,0,,2011,,,rac
1,5/28/2011,2,10,3,10,0,,2011,,,rac
1,5/28/2011,3,11,5,1,0,0,2011,,,rac
1,5/28/2011,3,11,5,2,0,0,2011,,,rac
1,5/28/2011,3,11,5,3,0,0,2011,,,rac
1,5/28/2011,3,11,5,4,0,0,2011,,,rac
1,5/28/2011,3,11,5,5,0,0,2011,,,rac
1,5/28/2011,3,11,5,6,0,0,2011,,,rac
1,5/28/2011,3,11,5,7,0,,2011,,,rac
1,5/28/2011,3,11,5,8,0,,2011,,,rac
1,5/28/2011,3,11,5,9,0,,2011,,,rac
1,5/28/2011,3,11,5,10,0,,2011,,,rac
1,5/28/2011,3,11,5,1,0,0,2011,,,rac
1,5/28/2011,3,11,5,2,0,0,2011,,,rac
1,5/28/2011,3,11,5,3,0,0,2011,,,rac
1,5/28/2011,3,11,5,4,0,0,2011,,,rac
1,5/28/2011,3,11,5,5,0,0,2011,,,rac
1,5/28/2011,3,11,5,6,0,0,2011,,,rac
1,5/28/2011,3,11,5,7,0,,2011,,,rac
1,5/28/2011,3,11,5,8,0,,2011,,,rac
1,5/28/2011,3,11,5,9,0,,2011,,,rac
1,5/28/2011,3,11,5,10,0,,2011,,,rac
1,5/28/2011,3,11,1,1,0,0,2011,,,rac
1,5/28/2011,3,11,1,2,0,0,2011,,,rac
1,5/28/2011,3,11,1,3,0,0,2011,,,rac
1,5/28/2011,3,11,1,4,0,0,2011,,,rac
1,5/28/2011,3,11,1,5,0,0,2011,,,rac
1,5/28/2011,3,11,1,6,0,0,2011,,,rac
1,5/28/2011,3,11,1,7,0,,2011,,,rac
1,5/28/2011,3,11,1,8,0,,2011,,,rac
1,5/28/2011,3,11,1,9,0,,2011,,,rac
1,5/28/2011,3,11,1,10,0,,2011,,,rac
1,5/28/2011,3,11,1,1,0,0,2011,,,rac
1,5/28/2011,3,11,1,2,0,0,2011,,,rac
1,5/28/2011,3,11,1,3,0,0,2011,,,rac
1,5/28/2011,3,11,1,4,0,0,2011,,,rac
1,5/28/2011,3,11,1,5,0,0,2011,,,rac
1,5/28/2011,3,11,1,6,0,,2011,,,rac
1,5/28/2011,3,11,1,7,0,,2011,,,rac
1,5/28/2011,3,11,1,8,0,,2011,,,rac
1,5/28/2011,3,11,1,9,0,,2011,,,rac
1,5/28/2011,3,11,1,10,0,,2011,,,rac
1,5/28/2011,3,12,3,1,0,0,2011,,,rac
1,5/28/2011,3,12,3,2,0,0,2011,,,rac
1,5/28/2011,3,12,3,3,0,0,2011,,,rac
1,5/28/2011,3,12,3,4,0,0,2011,,,rac
1,5/28/2011,3,12,3,5,0,0,2011,,,rac
1,5/28/2011,3,12,3,6,0,0,2011,,,rac
1,5/28/2011,3,12,3,7,0,0,2011,,,rac
1,5/28/2011,3,12,3,8,0,,2011,,,rac
1,5/28/2011,3,12,3,9,0,,2011,,,rac
1,5/28/2011,3,12,3,10,0,,2011,,,rac
1,5/28/2011,3,12,3,1,0,0,2011,,,rac
1,5/28/2011,3,12,3,2,0,0,2011,,,rac
1,5/28/2011,3,12,3,3,0,0,2011,,,rac
1,5/28/2011,3,12,3,4,0,0,2011,,,rac
1,5/28/2011,3,12,3,5,0,0,2011,,,rac
1,5/28/2011,3,12,3,6,0,0,2011,,,rac
1,5/28/2011,3,12,3,7,0,0,2011,,,rac
1,5/28/2011,3,12,3,8,0,,2011,,,rac
1,5/28/2011,3,12,3,9,0,,2011,,,rac
1,5/28/2011,3,12,3,10,0,,2011,,,rac
1,5/28/2011,3,12,4,1,0,0,2011,,,rac
1,5/28/2011,3,12,4,2,0,0,2011,,,rac
1,5/28/2011,3,12,4,3,0,0,2011,,,rac
1,5/28/2011,3,12,4,4,0,0,2011,,,rac
1,5/28/2011,3,12,4,5,0,0,2011,,,rac
1,5/28/2011,3,12,4,6,0,,2011,,,rac
1,5/28/2011,3,12,4,7,0,,2011,,,rac
1,5/28/2011,3,12,4,8,0,,2011,,,rac
1,5/28/2011,3,12,4,9,0,,2011,,,rac
1,5/28/2011,3,12,4,10,0,,2011,,,rac
1,5/28/2011,3,12,4,1,0,0,2011,,,rac
1,5/28/2011,3,12,4,2,0,0,2011,,,rac
1,5/28/2011,3,12,4,3,0,0,2011,,,rac
1,5/28/2011,3,12,4,4,0,0,2011,,,rac
1,5/28/2011,3,12,4,5,0,0,2011,,,rac
1,5/28/2011,3,12,4,6,0,0,2011,,,rac
1,5/28/2011,3,12,4,7,0,0,2011,,,rac
1,5/28/2011,3,12,4,8,0,0,2011,,,rac
1,5/28/2011,3,12,4,9,0,0,2011,,,rac
1,5/28/2011,3,12,4,10,0,0,2011,,,rac
1,5/28/2011,3,13,6,1,0,0,2011,,,rac
1,5/28/2011,3,13,6,2,0,0,2011,,,rac
1,5/28/2011,3,13,6,3,0,0,2011,,,rac
1,5/28/2011,3,13,6,4,0,0,2011,,,rac
1,5/28/2011,3,13,6,5,0,0,2011,,,rac
1,5/28/2011,3,13,6,6,0,0,2011,,,rac
1,5/28/2011,3,13,6,7,0,,2011,,,rac
1,5/28/2011,3,13,6,8,0,,2011,,,rac
1,5/28/2011,3,13,6,9,0,,2011,,,rac
1,5/28/2011,3,13,6,10,0,,2011,,,rac
1,5/28/2011,3,13,6,1,0,0,2011,,,rac
1,5/28/2011,3,13,6,2,0,0,2011,,,rac
1,5/28/2011,3,13,6,3,0,0,2011,,,rac
1,5/28/2011,3,13,6,4,0,0,2011,,,rac
1,5/28/2011,3,13,6,5,0,0,2011,,,rac
1,5/28/2011,3,13,6,6,0,0,2011,,,rac
1,5/28/2011,3,13,6,7,0,,2011,,,rac
1,5/28/2011,3,13,6,8,0,,2011,,,rac
1,5/28/2011,3,13,6,9,0,,2011,,,rac
1,5/28/2011,3,13,6,10,0,,2011,,,rac
1,5/28/2011,3,13,7,1,0,0,2011,,,rac
1,5/28/2011,3,13,7,2,0,0,2011,,,rac
1,5/28/2011,3,13,7,3,0,0,2011,,,rac
1,5/28/2011,3,13,7,4,0,0,2011,,,rac
1,5/28/2011,3,13,7,5,0,0,2011,,,rac
1,5/28/2011,3,13,7,6,0,0,2011,,,rac
1,5/28/2011,3,13,7,7,0,,2011,,,rac
1,5/28/2011,3,13,7,8,0,,2011,,,rac
1,5/28/2011,3,13,7,9,0,,2011,,,rac
1,5/28/2011,3,13,7,10,0,,2011,,,rac
1,5/28/2011,3,13,7,1,0,0,2011,,,rac
1,5/28/2011,3,13,7,2,0,0,2011,,,rac
1,5/28/2011,3,13,7,3,0,0,2011,,,rac
1,5/28/2011,3,13,7,4,0,0,2011,,,rac
1,5/28/2011,3,13,7,5,0,0,2011,,,rac
1,5/28/2011,3,13,7,6,0,0,2011,,,rac
1,5/28/2011,3,13,7,7,0,,2011,,,rac
1,5/28/2011,3,13,7,8,0,,2011,,,rac
1,5/28/2011,3,13,7,9,0,,2011,,,rac
1,5/28/2011,3,13,7,10,0,,2011,,,rac
1,5/28/2011,3,14,2,1,0,0,2011,,,rac
